"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","genes","change"
"DEFB4A",253.618813943438,3.54401813989532,0.899066139499565,3.94188812612605,8.08426846904431e-05,0.000555969668557247,"DEFB4A","Up"
"CXCL10",2413.51979790315,3.54254793724377,0.538058645724789,6.58394389792176,4.58130052268124e-11,1.73154071005173e-09,"CXCL10","Up"
"CXCL11",803.51082487106,3.54046451755461,0.544905573682471,6.49739090321312,8.17249157095193e-11,2.90147440470078e-09,"CXCL11","Up"
"MMP9",3369.73382936923,3.53848555380133,0.50375770072776,7.02418156325831,2.15324658175663e-12,1.05578917530348e-10,"MMP9","Up"
"TNNT1",674.690579935595,3.53762489577837,0.589647304363537,5.99956087240468,1.97851850151813e-09,5.10587235484238e-08,"TNNT1","Up"
"IL11",339.630057297582,3.52973630296052,0.455314944902016,7.75229616879832,9.02456046055246e-15,6.70998261784191e-13,"IL11","Up"
"HOXC10",934.443051686764,3.52600383952283,0.44533577702439,7.9176298456922,2.42080769751057e-15,2.0716176060489e-13,"HOXC10","Up"
"LINC00491",225.044666767374,3.52445325221869,0.747763458262717,4.713326404592,2.43705349224865e-06,2.74785733103636e-05,"LINC00491","Up"
"SAA1",2365.06072225362,3.52132043245149,0.551692118609873,6.38276370763523,1.73920165624472e-10,5.68515251307957e-09,"SAA1","Up"
"IGF2BP3",1757.78235516578,3.51787343005417,0.466675318447385,7.53816045330622,4.7664717425596e-14,3.20271593901912e-12,"IGF2BP3","Up"
"LGALS7B",2841.17691023396,3.51618850694823,0.804766778206633,4.3692018634067,1.24701457230165e-05,0.000113229921775258,"LGALS7B","Up"
"UCN2",181.373086009724,3.51322645182041,0.505531019637541,6.94957641637766,3.66384621237608e-12,1.70872745462537e-10,"UCN2","Up"
"CERNA2",621.160513014954,3.50960820226204,0.783888706583619,4.47717663589999,7.56366674024694e-06,7.3813901022894e-05,"CERNA2","Up"
"NOS2",1716.06514561379,3.49023532446329,0.68677500202235,5.08206518027823,3.73353243906345e-07,5.41004357104546e-06,"NOS2","Up"
"H2AC9P",10.8171281357423,3.48363825061493,0.702541795005469,4.9586206477407,7.09954436108547e-07,9.53367385631477e-06,"H2AC9P","Up"
"ULBP2",712.887075740489,3.4831555954364,0.417193872930675,8.3490094688308,6.88378196293209e-17,8.61279809458717e-15,"ULBP2","Up"
"GNGT1",292.369331327148,3.46345612085496,0.606922726940617,5.70658498539606,1.15265367589136e-08,2.44578280561651e-07,"GNGT1","Up"
"PLA2G4E",1842.58270624703,3.44929047327948,0.723833589591497,4.76530866055294,1.88564764613637e-06,2.20137835239421e-05,"PLA2G4E","Up"
"POU6F2-AS2",93.0116273444276,3.44049891646557,0.718421566899255,4.78896942266773,1.67640020059742e-06,2.0008632334319e-05,"POU6F2-AS2","Up"
"SALL4",661.642550906038,3.39638575729345,0.455072109880945,7.46340125784023,8.43170704121274e-14,5.50244709142739e-12,"SALL4","Up"
"EVA1A",360.741600447063,3.39308039455883,0.479874194727827,7.07077069748105,1.54075557260427e-12,7.89615468875329e-11,"EVA1A","Up"
"MMP1",12763.5297452109,3.39164341042367,0.530984539709154,6.38746169950906,1.68661832420016e-10,5.53320608275574e-09,"MMP1","Up"
"AC007128.1",95.3542888034868,3.38810834612172,0.499092356952689,6.78853983420727,1.13274106230134e-11,4.75698804450714e-10,"AC007128.1","Up"
"STRA6",1594.33463452729,3.37612211689804,0.531989360298736,6.34622112555446,2.20667997592399e-10,6.97449270439251e-09,"STRA6","Up"
"HOXC8",314.172391370861,3.37514589256275,0.365599498767242,9.23181214400825,2.6609141503591e-20,7.20512007698727e-18,"HOXC8","Up"
"LAMP3",3172.64811839035,3.34891324866865,0.383514993903372,8.73215728695192,2.49860423988452e-18,4.4009396232995e-16,"LAMP3","Up"
"HOXC-AS1",45.0771673839436,3.34055759167324,0.40382405952952,8.27230946953779,1.31388726859481e-16,1.49054508499798e-14,"HOXC-AS1","Up"
"ZIC5",358.286416399514,3.33171294562987,0.555884353794195,5.99353610672656,2.05326549933516e-09,5.26878963068437e-08,"ZIC5","Up"
"RNASE7",930.748258968749,3.33049831268702,0.815049665631919,4.08625198331299,4.38397646344318e-05,0.000331887141704932,"RNASE7","Up"
"KCNMB2-AS1",277.640172078697,3.32465794093647,0.499918555047675,6.65039916475877,2.9229919942926e-11,1.14286467156156e-09,"KCNMB2-AS1","Up"
"FOXE1",5027.21173833604,3.32095002410873,0.857321021139451,3.87363652846738,0.000107223293356866,0.000712805052429557,"FOXE1","Up"
"SERPINB4",2859.56579263237,3.30557589513703,0.793799042648995,4.16424777246639,3.12380741293944e-05,0.000247692806317952,"SERPINB4","Up"
"WNT2",347.324156978417,3.30428403018234,0.447365978970897,7.3860869746586,1.51212901158626e-13,9.42716306810925e-12,"WNT2","Up"
"CAPNS2",890.585878331276,3.27519037862614,0.802942258572364,4.07898618320258,4.52325248204103e-05,0.00034021909837972,"CAPNS2","Up"
"WDR72",3925.30541731474,3.2714089060842,0.439522955832365,7.44308997442201,9.83570469646309e-14,6.37283409297262e-12,"WDR72","Up"
"CEL",1152.11768055984,3.26510374488305,0.659051085973406,4.95424985160377,7.26098589202787e-07,9.728863076305e-06,"CEL","Up"
"TNFRSF18",641.422355194009,3.26324920637287,0.454478163426501,7.18021121580379,6.96038032002168e-13,3.75819106445932e-11,"TNFRSF18","Up"
"NEURL3",201.579840761979,3.2566473364217,0.4744231976702,6.86443528144168,6.67547953412772e-12,2.96829778696434e-10,"NEURL3","Up"
"DLX5",701.479103681713,3.25114063972037,0.631785101173551,5.1459596525485,2.66156629047615e-07,4.03730231118882e-06,"DLX5","Up"
"ABCA13",3096.5369000412,3.24907641746622,0.616993544160587,5.26598122171043,1.39442538345712e-07,2.27088557510584e-06,"ABCA13","Up"
"ADAMTS12",2368.16523537611,3.24814341634006,0.402608472455794,8.06774729932366,7.16070620185537e-16,6.7661214538573e-14,"ADAMTS12","Up"
"CYP4F11",6345.49717325269,3.24348954131554,0.687001494971792,4.72122632200198,2.34426908221359e-06,2.65644782570387e-05,"CYP4F11","Up"
"AC136475.3",324.310245929839,3.23891665940692,0.532882475968418,6.07810691001008,1.21609669467524e-09,3.36830934882417e-08,"AC136475.3","Up"
"PLAU",8019.34960724381,3.22807358989527,0.390221281571165,8.27241809287779,1.31269041043085e-16,1.49054508499798e-14,"PLAU","Up"
"KLK5",1638.84494132578,3.1986882093543,0.881567983348165,3.62840787071894,0.000285174479731203,0.00161323212076192,"KLK5","Up"
"LINC00519",195.835106613459,3.19269287540902,0.68362176560405,4.6702621771967,3.00815562670569e-06,3.30150994432515e-05,"LINC00519","Up"
"IGHG1",124794.643490211,3.16282748327146,0.593042197812824,5.33322501322193,9.64836301115258e-08,1.62375326297152e-06,"IGHG1","Up"
"NOX1",359.206640664142,3.14050575138403,0.583181224200725,5.38512836329433,7.23929655665193e-08,1.25959336271928e-06,"NOX1","Up"
"HOXC9",268.287757597306,3.13783686681911,0.347219784732915,9.03703361613672,1.60980880539429e-19,3.84278307203463e-17,"HOXC9","Up"
"POU6F2",418.45570745879,3.12189956562477,0.630266698960189,4.95329924740632,7.29656314747486e-07,9.7693172414383e-06,"POU6F2","Up"
"CTHRC1",3154.81263642868,3.11008733008067,0.382259119745326,8.13607097759423,4.08312490287217e-16,4.18508768293259e-14,"CTHRC1","Up"
"SLC6A14",3539.0318101033,3.10774765406946,0.624157134923034,4.97911099654846,6.38770029007894e-07,8.67407624720151e-06,"SLC6A14","Up"
"ARTN",807.4350611346,3.10058413024392,0.555928021902951,5.57731218446332,2.44263279945403e-08,4.73949136338984e-07,"ARTN","Up"
"ABCA12",2910.82682304355,3.09568380162336,0.558048805111245,5.54733523890665,2.90056272030697e-08,5.5449956661548e-07,"ABCA12","Up"
